epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2402,1.6644,3.83425,1.76265,0.01401,0.37189,0.03454,0.02034,1.74227,4.06285,1.78652,3.076e-05,3.076e-05,3.076e-05
2,31.7471,1.66235,3.78552,1.78366,0.01578,0.32917,0.04735,0.03052,1.72713,4.03306,1.73206,6.78396e-05,6.78396e-05,6.78396e-05
3,36.0035,1.61062,3.67404,1.71979,0.02351,0.45346,0.07133,0.04504,1.70416,4.02123,1.69678,0.000103397,0.000103397,0.000103397
4,40.3393,1.53886,3.61179,1.67471,0.02517,0.50901,0.10344,0.06466,1.69094,3.99697,1.67378,0.000137431,0.000137431,0.000137431
5,44.7023,1.56054,3.53221,1.66367,0.02614,0.52753,0.13923,0.0842,1.69857,3.97557,1.64488,0.000169943,0.000169943,0.000169943
6,49.4418,1.57712,3.46329,1.64872,0.02775,0.54071,0.15565,0.09358,1.71791,3.95765,1.64637,0.000200932,0.000200932,0.000200932
7,54.0191,1.52858,3.23919,1.65209,0.02609,0.54751,0.17152,0.10489,1.7315,3.89718,1.63051,0.000230399,0.000230399,0.000230399
8,59.0727,1.64256,3.15092,1.61627,0.02679,0.58455,0.16407,0.09844,1.74586,3.85798,1.62815,0.000258342,0.000258342,0.000258342
9,64.004,1.51802,2.91585,1.60872,0.02806,0.60558,0.16053,0.09607,1.76606,3.79544,1.62305,0.000284764,0.000284764,0.000284764
10,70.054,1.54182,3.03904,1.56547,0.03392,0.68507,0.2849,0.13837,1.81371,3.66887,1.64604,0.000309662,0.000309662,0.000309662
11,75.3079,1.59558,2.92512,1.63748,0.03416,0.69251,0.31052,0.1472,1.82222,3.61735,1.66069,0.000333039,0.000333039,0.000333039
12,81.496,1.38561,2.88011,1.5238,0.1499,0.60907,0.29977,0.15249,1.82872,3.58388,1.65665,0.000354892,0.000354892,0.000354892
13,87.854,1.52476,2.66794,1.62712,0.40724,0.31681,0.30733,0.16441,1.81818,3.57427,1.67269,0.000375223,0.000375223,0.000375223
