epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7353,1.52072,4.04764,1.73809,0.63238,0.10029,0.12678,0.08842,1.99078,4.47848,2.06716,4.614e-05,4.614e-05,4.614e-05
2,80.2873,1.60848,3.10075,1.73436,0.86576,0.14465,0.18942,0.11597,2.03971,5.11254,1.95129,9.89803e-05,9.89803e-05,9.89803e-05
3,115.924,1.3905,2.57744,1.57093,0.59332,0.20595,0.26031,0.15568,2.07111,4.68208,1.91252,0.000150755,0.000150755,0.000150755
4,229.911,1.2844,2.12611,1.40943,0.21547,0.29812,0.25612,0.15827,2.12648,3.26357,1.93068,0.000201463,0.000201463,0.000201463
5,267.884,1.27742,1.8702,1.36243,0.31106,0.4992,0.34428,0.19088,2.16517,2.58418,1.98093,0.000251106,0.000251106,0.000251106
6,308.4,1.31019,1.83831,1.39878,0.37196,0.27083,0.3392,0.16945,2.25019,2.79985,2.06208,0.000299683,0.000299683,0.000299683
7,349.376,1.2934,1.85957,1.3969,0.27216,0.36312,0.33402,0.16013,2.23095,2.74737,2.01445,0.000347194,0.000347194,0.000347194
8,391.523,1.29898,1.63315,1.38094,0.27403,0.32724,0.28819,0.12827,2.17466,2.37524,1.91521,0.00039364,0.00039364,0.00039364
9,557.327,1.21067,1.64189,1.39202,0.18513,0.37231,0.22435,0.0864,2.14607,2.38611,1.87558,0.000439019,0.000439019,0.000439019
10,700.606,1.23235,1.56108,1.34295,0.18595,0.34952,0.2214,0.09477,2.16117,2.50672,1.90122,0.000483333,0.000483333,0.000483333
